身份证前六位,省份,城市,区/县,简称,电话区号,邮政编码
110000,北京市,北京市,北京市,京,010,100000
110100,北京市,北京市,市辖区,京,010,
110101,北京市,北京市,东城区,京,010,100000
110102,北京市,北京市,西城区,京,010,100000
110103,北京市,北京市,崇文区,京,010,100000
110104,北京市,北京市,宣武区,京,010,100000
110105,北京市,北京市,朝阳区,京,010,100000
110106,北京市,北京市,丰台区,京,010,100000
110107,北京市,北京市,石景山区,京,010,100000
110108,北京市,北京市,海淀区,京,010,100000
110109,北京市,北京市,门头沟区,京,010,102300
110111,北京市,北京市,房山区,京,010,102400
110112,北京市,北京市,通州区,京,010,101100
110113,北京市,北京市,顺义区,京,010,101300
110114,北京市,北京市,昌平区,京,010,102200
110115,北京市,北京市,大兴区,京,010,102600
110116,北京市,北京市,怀柔区,京,010,101400
110117,北京市,北京市,平谷区,京,010,101200
110200,北京市,北京市,县,京,010,
110228,北京市,北京市,密云县,京,010,101500
110229,北京市,北京市,延庆县,京,010,102100
120000,天津市,天津市,天津市,津,022,300000
120100,天津市,天津市,市辖区,津,022,
120101,天津市,天津市,和平区,津,022,300000
120102,天津市,天津市,河东区,津,022,300000
120103,天津市,天津市,河西区,津,022,300000
120104,天津市,天津市,南开区,津,022,300000
120105,天津市,天津市,河北区,津,022,300000
120106,天津市,天津市,红桥区,津,022,300000
120107,天津市,天津市,塘沽区,津,022,300000
120108,天津市,天津市,汉沽区,津,022,300000
120109,天津市,天津市,大港区,津,022,300000
120110,天津市,天津市,东丽区,津,022,300000
120111,天津市,天津市,西青区,津,022,300000
120112,天津市,天津市,津南区,津,022,300000
120113,天津市,天津市,北辰区,津,022,300000
120114,天津市,天津市,武清区,津,022,301700
120115,天津市,天津市,宝坻区,津,022,301800
120200,天津市,天津市,县,津,022,
120221,天津市,天津市,宁河县,津,022,301500
120223,天津市,天津市,静海县,津,022,301600
120225,天津市,天津市,蓟县,津,022,301900
130000,河北省,河北省,河北省,冀,,
130100,河北省,石家庄市,石家庄市,冀,0311,050000
130101,河北省,石家庄市,市辖区,冀,0311,
130102,河北省,石家庄市,长安区,冀,0311,050000
130103,河北省,石家庄市,桥东区,冀,0311,050000
130104,河北省,石家庄市,桥西区,冀,0311,050000
130105,河北省,石家庄市,新华区,冀,0311,050000
130107,河北省,石家庄市,井陉矿区,冀,0311,050100
130108,河北省,石家庄市,裕华区,冀,0311,050000
130121,河北省,石家庄市,井陉县,冀,0311,050300
130123,河北省,石家庄市,正定县,冀,0311,050800
130124,河北省,石家庄市,栾城县,冀,0311,051430
130125,河北省,石家庄市,行唐县,冀,0311,050600
130126,河北省,石家庄市,灵寿县,冀,0311,050500
130127,河北省,石家庄市,高邑县,冀,0311,051330
130128,河北省,石家庄市,深泽县,冀,0311,052500
130129,河北省,石家庄市,赞皇县,冀,0311,051230
130130,河北省,石家庄市,无极县,冀,0311,052400
130131,河北省,石家庄市,平山县,冀,0311,050400
