身份证代码,地址
440200,"广东省韶关市 －撤销,划归: 浈江区"
440202,"广东省韶关市北江区－撤销,划归: 浈江区"
440221,"广东省曲江县－撤销,设立：曲江区"
411100,河南省漯河市 －撤销设立：郾城区
411123,河南省郾城县－撤销设立召陵区
371100,山东省日照市－新增：岚山区
450100,广西壮族自治区南宁市－撤销
450104,广西壮族自治区城北区－撤销
450106,广西壮族自治区永新区－撤销
450121,广西壮族自治区邕宁县－撤销
450103,广西壮族自治区新城区－更名：青秀区
410205,河南省开封市南关区－更名 禹王台区
410211,河南省开封市郊区－更名 金明区
440102,广州市东山区（撤销）
440107,广州市芳村区（撤销）
230105,黑龙江哈尔滨市呼兰县－撤销
230121,黑龙江哈尔滨市太平区－撤销
321321,江苏省宿迁市宿豫县-撤销
622600,甘肃省陇南地区-撤销
622621,甘肃省陇南地区武都县-撤销
622630,甘肃省陇南地区徽县-621227
622629,甘肃省陇南地区徽县两当县-621128
142302,山西省吕梁地区离石市
142322,山西省吕梁地区文水县
142323,山西省吕梁地区交城县
142325,山西省吕梁地区兴县
142326,山西省吕梁地区临县
142327,山西省吕梁地区柳林县
142328,山西省吕梁地区石楼县
142329,山西省吕梁地区岚县
142330,山西省吕梁地区方山县
142332,山西省吕梁地区中阳县
142333,山西省吕梁地区交口县
142301,山西省吕梁地区孝义市
142303,山西省吕梁地区汾阳市
152800,内蒙古自治区
152801,内蒙古自治区临河市
152822,内蒙古自治区五原县
152823,内蒙古自治区磴口县
152824,内蒙古自治区乌拉特前旗
152825,内蒙古自治区乌拉特中旗
152826,内蒙古自治区乌拉特后旗
152827,内蒙古自治区杭锦后旗
152600,内蒙古自治区乌兰察布盟
152601,内蒙古自治区集宁市
152624,内蒙古自治区卓资县
152625,内蒙古自治区化德县
152626,内蒙古自治区商都县
152627,内蒙古自治区兴和县
152629,内蒙古自治区凉城县
152630,内蒙古自治区察哈尔右翼前旗
152631,内蒙古自治区察哈尔右翼中旗
152632,内蒙古自治区察哈尔右翼后旗
152634,内蒙古自治区四子王旗
152602,内蒙古自治区丰镇市
320900,江苏省盐城市
320928,江苏省盐都县
361100,江西省上饶市
510902,四川省遂宁市市中区
532700,云南省思茅地区
532701,云南省思茅市
532722,云南省普洱哈尼族彝族自治县
532723,云南省墨江哈尼族自治县
532724,云南省景东彝族自治县
532725,云南省景谷傣族彝族自治县
532726,云南省镇沅彝族哈尼族拉祜族自治县
532727,云南省江城哈尼族彝族自治县
532728,云南省孟连傣族拉祜族佤族自治县
532729,云南省澜沧拉祜族自治县
532730,云南省西盟佤族自治县
533500,云南省临沧地区
533521,云南省临沧县
533522,云南省凤庆县
533523,云南省云县
533524,云南省永德县
533525,云南省镇康县
533526,云南省双江拉祜族佤族布朗族傣族自治县
